#! FIELDS DIH_23 OOP_23 ext_23.bias der_DIH_23 der_OOP_23
#! SET min_DIH_23 -pi
#! SET max_DIH_23 pi
#! SET nbins_DIH_23 199
#! SET periodic_DIH_23 true
#! SET min_OOP_23 0
#! SET max_OOP_23 2*pi
#! SET nbins_OOP_23 199
#! SET periodic_OOP_23 false
-3.141593 0.000000 1.860051 -0.000000 0.000009
-3.110019 0.000000 1.870791 -0.680164 0.000009
-3.078445 0.000000 1.902985 -1.358748 0.000009
-3.046871 0.000000 1.956559 -2.034157 0.000010
-3.015297 0.000000 2.031387 -2.704771 0.000010
-2.983724 0.000000 2.127291 -3.368924 0.000011
-2.952150 0.000000 2.244040 -4.024902 0.000011
-2.920576 0.000000 2.381349 -4.670925 0.000012
-2.889002 0.000000 2.538873 -5.305142 0.000013
-2.857428 0.000000 2.716211 -5.925624 0.000014
-2.825855 0.000000 2.912897 -6.530361 0.000015
-2.794281 0.000000 3.128400 -7.117258 0.000016
-2.762707 0.000000 3.362124 -7.684138 0.000017
-2.731133 0.000000 3.613400 -8.228748 0.000019
-2.699560 0.000000 3.881491 -8.748763 0.000020
-2.667986 0.000000 4.165580 -9.241798 0.000021
-2.636412 0.000000 4.464778 -9.705420 0.000022
-2.604838 0.000000 4.778118 -10.137166 0.000024
-2.573264 0.000000 5.104554 -10.534558 0.000025
-2.541691 0.000000 5.442963 -10.895127 0.000026
-2.510117 0.000000 5.792142 -11.216436 0.000027
-2.478543 0.000000 6.150815 -11.496101 0.000028
-2.446969 0.000000 6.517631 -11.731822 0.000029
-2.415395 0.000000 6.891166 -11.921408 0.000030
-2.383822 0.000000 7.269932 -12.062809 0.000031
-2.352248 0.000000 7.652376 -12.154137 0.000032
-2.320674 0.000000 8.036891 -12.193704 0.000032
-2.289100 0.000000 8.421819 -12.180041 0.000033
-2.257526 0.000000 8.805458 -12.111932 0.000033
-2.225953 0.000000 9.186075 -11.988436 0.000033
-2.194379 0.000000 9.561909 -11.808910 0.000033
-2.162805 0.000000 9.931186 -11.573031 0.000033
-2.131231 0.000000 10.292125 -11.280816 0.000033
-2.099657 0.000000 10.642953 -10.932632 0.000033
-2.068084 0.000000 10.981913 -10.529216 0.000033
-2.036510 0.000000 11.307278 -10.071674 0.000033
-2.004936 0.000000 11.617361 -9.561494 0.000032
-1.973362 0.000000 11.910529 -9.000538 0.000032
-1.941788 0.000000 12.185213 -8.391046 0.000032
-1.910215 0.000000 12.439920 -7.735621 0.000031
-1.878641 0.000000 12.673246 -7.037220 0.000030
-1.847067 0.000000 12.883886 -6.299138 0.000030
-1.815493 0.000000 13.070642 -5.524986 0.000029
-1.783919 0.000000 13.232436 -4.718666 0.000029
-1.752346 0.000000 13.368319 -3.884345 0.000028
-1.720772 0.000000 13.477475 -3.026423 0.000028
-1.689198 0.000000 13.559231 -2.149496 0.000027
-1.657624 0.000000 13.613061 -1.258326 0.000027
-1.626050 0.000000 13.638592 -0.357796 0.000026
-1.594477 0.000000 13.635608 0.547128 0.000026
-1.562903 0.000000 13.604049 1.451440 0.000026
-1.531329 0.000000 13.544013 2.350131 0.000025
-1.499755 0.000000 13.455755 3.238240 0.000025
-1.468181 0.000000 13.339688 4.110887 0.000025
-1.436608 0.000000 13.196375 4.963321 0.000025
-1.405034 0.000000 13.026528 5.790953 0.000025
-1.373460 0.000000 12.830998 6.589400 0.000025
-1.341886 0.000000 12.610774 7.354516 0.000025
-1.310313 0.000000 12.366970 8.082425 0.000025
-1.278739 0.000000 12.100817 8.769550 0.000026
-1.247165 0.000000 11.813657 9.412641 0.000026
-1.215591 0.000000 11.506926 10.008792 0.000026
-1.184017 0.000000 11.182147 10.555465 0.000027
-1.152444 0.000000 10.840917 11.050497 0.000027
-1.120870 0.000000 10.484897 11.492114 0.000027
-1.089296 0.000000 10.115795 11.878933 0.000028
-1.057722 0.000000 9.735358 12.209962 0.000028
-1.026148 0.000000 9.345359 12.484599 0.000029
-0.994575 0.000000 8.947582 12.702620 0.000029
-0.963001 0.000000 8.543813 12.864169 0.000029
-0.931427 0.000000 8.135830 12.969742 0.000030
-0.899853 0.000000 7.725386 13.020164 0.000030
-0.868279 0.000000 7.314206 13.016573 0.000031
-0.836706 0.000000 6.903974 12.960388 0.000031
-0.805132 0.000000 6.496325 12.853286 0.000031
-0.773558 0.000000 6.092836 12.697170 0.000031
-0.741984 0.000000 5.695023 12.494138 0.000031
-0.710410 0.000000 5.304332 12.246454 0.000032
-0.678837 0.000000 4.922134 11.956511 0.000032
-0.647263 0.000000 4.549725 11.626805 0.000032
-0.615689 0.000000 4.188321 11.259897 0.000032
-0.584115 0.000000 3.839054 10.858389 0.000031
-0.552541 0.000000 3.502976 10.424888 0.000031
-0.520968 0.000000 3.181057 9.961986 0.000031
-0.489394 0.000000 2.874183 9.472230 0.000031
-0.457820 0.000000 2.583165 8.958102 0.000031
-0.426246 0.000000 2.308732 8.421998 0.000030
-0.394672 0.000000 2.051543 7.866214 0.000030
-0.363099 0.000000 1.812184 7.292929 0.000030
-0.331525 0.000000 1.591174 6.704202 0.000030
-0.299951 0.000000 1.388972 6.101959 0.000029
-0.268377 0.000000 1.205974 5.487993 0.000029
-0.236803 0.000000 1.042524 4.863967 0.000029
-0.205230 0.000000 0.898916 4.231412 0.000028
-0.173656 0.000000 0.775395 3.591740 0.000028
-0.142082 0.000000 0.672167 2.946251 0.000028
-0.110508 0.000000 0.589395 2.296147 0.000028
-0.078934 0.000000 0.527208 1.642545 0.000028
-0.047361 0.000000 0.485698 0.986493 0.000028
